booking_id,booking_date,check_in,check_out,nights,guest_count,gross_revenue,airbnb_fee_estimate,net_revenue,status
ABNB_001,2026-01-02,2026-01-10,2026-01-13,3,5,1765,53,1712,completed
ABNB_002,2026-01-08,2026-01-24,2026-01-27,3,8,2130,64,2066,completed
ABNB_003,2026-01-19,2026-02-14,2026-02-17,3,6,2015,60,1955,completed
ABNB_004,2026-01-28,2026-02-28,2026-03-03,3,10,2440,73,2367,completed
ABNB_005,2026-02-06,2026-03-13,2026-03-16,3,7,2385,72,2313,completed
ABNB_006,2026-02-14,2026-03-27,2026-03-31,4,9,3160,95,3065,completed
ABNB_007,2026-02-27,2026-04-10,2026-04-13,3,4,2245,67,2178,completed
ABNB_008,2026-03-05,2026-04-24,2026-04-28,4,11,3720,112,3608,completed
ABNB_009,2026-03-17,2026-05-08,2026-05-11,3,8,2865,86,2779,confirmed
ABNB_010,2026-03-25,2026-05-22,2026-05-26,4,10,3985,120,3865,confirmed
ABNB_011,2026-04-01,2026-06-12,2026-06-15,3,6,3210,96,3114,confirmed
ABNB_012,2026-04-09,2026-06-26,2026-06-30,4,12,4520,136,4384,confirmed
ABNB_013,2026-04-15,2026-07-17,2026-07-20,3,7,3380,101,3279,confirmed
ABNB_014,2026-04-22,2026-07-31,2026-08-03,3,9,3615,108,3507,confirmed
ABNB_015,2026-04-30,2026-08-14,2026-08-18,4,8,4240,127,4113,confirmed
ABNB_016,2026-05-06,2026-08-28,2026-08-31,3,5,3095,93,3002,confirmed
ABNB_017,2026-05-11,2026-09-11,2026-09-14,3,10,3425,103,3322,confirmed
ABNB_018,2026-05-16,2026-09-25,2026-09-29,4,11,4110,123,3987,confirmed
ABNB_019,2026-05-22,2026-10-16,2026-10-19,3,6,2975,89,2886,confirmed
ABNB_020,2026-05-26,2026-11-06,2026-11-09,3,9,3190,96,3094,confirmed
